dataset,dataset_subset,student_model,student_type,metric,mode,token_budget,expected_cycles,policy_name,control_name,seeds,run_count,mean_heldout_metric,std_heldout_metric,mean_final_metric,std_final_metric,mean_estimated_cost,std_estimated_cost,teacher_input_tokens,teacher_output_tokens,training_seconds,training_seconds_source,run_id
banking77,default,jhu-clsp/ettin-decoder-150m,slm,exact_match,max,20000000,10,fixed_promptillery,,13,1,0.9094155844155845,0.0,0.884,0.0,0.344072,0.0,85460,21644,4032.9,run_wall_clock_upper_bound,g2_banking77_ettin_decoder_slm_20260709_170029_945418_s13_c3133fc7_1340c8
banking77,default,jhu-clsp/ettin-encoder-150m,transformers,accuracy,max,20000000,10,fixed_promptillery,,13,1,0.9188311688311688,0.0,0.9180409795102449,0.0,0.1748,0.0,55212,8047,1035.5,run_wall_clock_upper_bound,g2_banking77_ettin_encoder_transformers_20260709_171824_360663_s13_9e10e3df_8feeaf
banking77,default,fasttext,fasttext,accuracy,max,20000000,10,fixed_promptillery,,13,1,0.824025974025974,0.0,0.8065967016491754,0.0,0.180848,0.0,57864,8140,156.1,run_wall_clock_upper_bound,g2_banking77_fasttext_20260709_170030_816726_s13_9523e33d_2a2f06
banking77,default,google/gemma-3-270m-it,slm,exact_match,max,20000000,10,fixed_promptillery,,13,1,0.912012987012987,0.0,0.902,0.0,0.356388,0.0,87326,22717,7638.1,run_wall_clock_upper_bound,g2_banking77_gemma3_270m_slm_20260709_173738_664498_s13_91b3eb40_556d42
banking77,default,answerdotai/ModernBERT-base,transformers,accuracy,max,20000000,10,fixed_promptillery,,13,1,0.9185064935064935,0.0,0.9165417291354323,0.0,0.172718,0.0,55035,7831,1020.7,run_wall_clock_upper_bound,g2_banking77_modernbert_base_transformers_20260709_170030_788423_s13_589b01cc_ee91a4
banking77,default,FacebookAI/roberta-base,transformers,accuracy,max,20000000,10,fixed_promptillery,,13,1,0.9324675324675324,0.0,0.9330334832583708,0.0,0.171838,0.0,55359,7640,799.0,run_wall_clock_upper_bound,g2_banking77_roberta_base_transformers_20260709_184207_875679_s13_b548b319_005eb4
